id,name,height_dm,weight_hg,base_experience,type_1,type_2,hp,attack,defense,special_attack,special_defense,speed,abilities,generation,is_legendary,is_mythical,color,shape,capture_rate
68,machamp,16,1300,227.0,fighting,,90,130,80,65,85,55,"guts, no-guard, steadfast",generation-i,False,False,gray,humanoid,45
69,bellsprout,7,40,60.0,grass,poison,50,75,35,70,30,40,"chlorophyll, gluttony",generation-i,False,False,green,humanoid,255
70,weepinbell,10,64,137.0,grass,poison,65,90,50,85,45,55,"chlorophyll, gluttony",generation-i,False,False,green,blob,120
71,victreebel,17,155,221.0,grass,poison,80,105,65,100,70,70,"chlorophyll, gluttony",generation-i,False,False,green,blob,45
72,tentacool,9,455,67.0,water,poison,40,40,35,50,100,70,"clear-body, liquid-ooze, rain-dish",generation-i,False,False,blue,tentacles,190
73,tentacruel,16,550,180.0,water,poison,80,70,65,80,120,100,"clear-body, liquid-ooze, rain-dish",generation-i,False,False,blue,tentacles,60
74,geodude,4,200,60.0,rock,ground,40,80,100,30,30,20,"rock-head, sturdy, sand-veil",generation-i,False,False,brown,arms,255
75,graveler,10,1050,137.0,rock,ground,55,95,115,45,45,35,"rock-head, sturdy, sand-veil",generation-i,False,False,brown,humanoid,120
76,golem,14,3000,223.0,rock,ground,80,120,130,55,65,45,"rock-head, sturdy, sand-veil",generation-i,False,False,brown,humanoid,45
77,ponyta,10,300,82.0,fire,,50,85,55,65,65,90,"run-away, flash-fire, flame-body",generation-i,False,False,yellow,quadruped,190
78,rapidash,17,950,175.0,fire,,65,100,70,80,80,105,"run-away, flash-fire, flame-body",generation-i,False,False,yellow,quadruped,60
79,slowpoke,12,360,63.0,water,psychic,90,65,65,40,40,15,"oblivious, own-tempo, regenerator",generation-i,False,False,pink,quadruped,190
80,slowbro,16,785,172.0,water,psychic,95,75,110,100,80,30,"oblivious, own-tempo, regenerator",generation-i,False,False,pink,upright,75
81,magnemite,3,60,65.0,electric,steel,25,35,70,95,55,45,"magnet-pull, sturdy, analytic",generation-i,False,False,gray,arms,190
82,magneton,10,600,163.0,electric,steel,50,60,95,120,70,70,"magnet-pull, sturdy, analytic",generation-i,False,False,gray,heads,60
83,farfetchd,8,150,132.0,normal,flying,52,90,55,58,62,60,"keen-eye, inner-focus, defiant",generation-i,False,False,brown,wings,45
84,doduo,14,392,62.0,normal,flying,35,85,45,35,35,75,"run-away, early-bird, tangled-feet",generation-i,False,False,brown,legs,190
85,dodrio,18,852,165.0,normal,flying,60,110,70,60,60,110,"run-away, early-bird, tangled-feet",generation-i,False,False,brown,legs,45
86,seel,11,900,65.0,water,,65,45,55,45,70,45,"thick-fat, hydration, ice-body",generation-i,False,False,white,fish,190
87,dewgong,17,1200,166.0,water,ice,90,70,80,70,95,70,"thick-fat, hydration, ice-body",generation-i,False,False,white,fish,75
88,grimer,9,300,65.0,poison,,80,80,50,40,50,25,"stench, sticky-hold, poison-touch",generation-i,False,False,purple,arms,190
89,muk,12,300,175.0,poison,,105,105,75,65,100,50,"stench, sticky-hold, poison-touch",generation-i,False,False,purple,arms,75
90,shellder,3,40,61.0,water,,30,65,100,45,25,40,"shell-armor, skill-link, overcoat",generation-i,False,False,purple,ball,190
91,cloyster,15,1325,184.0,water,ice,50,95,180,85,45,70,"shell-armor, skill-link, overcoat",generation-i,False,False,purple,ball,60
92,gastly,13,1,62.0,ghost,poison,30,35,30,100,35,80,levitate,generation-i,False,False,purple,ball,190
93,haunter,16,1,142.0,ghost,poison,45,50,45,115,55,95,levitate,generation-i,False,False,purple,arms,90
94,gengar,15,405,225.0,ghost,poison,60,65,60,130,75,110,cursed-body,generation-i,False,False,purple,upright,45
95,onix,88,2100,77.0,rock,ground,35,45,160,30,45,70,"rock-head, sturdy, weak-armor",generation-i,False,False,gray,squiggle,45
96,drowzee,10,324,66.0,psychic,,60,48,45,43,90,42,"insomnia, forewarn, inner-focus",generation-i,False,False,yellow,humanoid,190
97,hypno,16,756,169.0,psychic,,85,73,70,73,115,67,"insomnia, forewarn, inner-focus",generation-i,False,False,yellow,humanoid,75
98,krabby,4,65,65.0,water,,30,105,90,25,25,50,"hyper-cutter, shell-armor, sheer-force",generation-i,False,False,red,armor,225
99,kingler,13,600,166.0,water,,55,130,115,50,50,75,"hyper-cutter, shell-armor, sheer-force",generation-i,False,False,red,armor,60
100,voltorb,5,104,66.0,electric,,40,30,50,55,55,100,"soundproof, static, aftermath",generation-i,False,False,red,ball,190
101,electrode,12,666,172.0,electric,,60,50,70,80,80,150,"soundproof, static, aftermath",generation-i,False,False,red,ball,60
102,exeggcute,4,25,65.0,grass,psychic,60,40,80,60,45,40,"chlorophyll, harvest",generation-i,False,False,pink,heads,90
103,exeggutor,20,1200,186.0,grass,psychic,95,95,85,125,75,55,"chlorophyll, harvest",generation-i,False,False,yellow,legs,45
104,cubone,4,65,64.0,ground,,50,50,95,40,50,35,"rock-head, lightning-rod, battle-armor",generation-i,False,False,brown,upright,190
105,marowak,10,450,149.0,ground,,60,80,110,50,80,45,"rock-head, lightning-rod, battle-armor",generation-i,False,False,brown,upright,75
106,hitmonlee,15,498,159.0,fighting,,50,120,53,35,110,87,"limber, reckless, unburden",generation-i,False,False,brown,humanoid,45
107,hitmonchan,14,502,159.0,fighting,,50,105,79,35,110,76,"keen-eye, iron-fist, inner-focus",generation-i,False,False,brown,humanoid,45
108,lickitung,12,655,77.0,normal,,90,55,75,60,75,30,"own-tempo, oblivious, cloud-nine",generation-i,False,False,pink,upright,45
109,koffing,6,10,68.0,poison,,40,65,95,60,45,35,"levitate, neutralizing-gas, stench",generation-i,False,False,purple,ball,190
110,weezing,12,95,172.0,poison,,65,90,120,85,70,60,"levitate, neutralizing-gas, stench",generation-i,False,False,purple,heads,60
111,rhyhorn,10,1150,69.0,ground,rock,80,85,95,30,30,25,"lightning-rod, rock-head, reckless",generation-i,False,False,gray,quadruped,120
112,rhydon,19,1200,170.0,ground,rock,105,130,120,45,45,40,"lightning-rod, rock-head, reckless",generation-i,False,False,gray,upright,60
113,chansey,11,346,395.0,normal,,250,5,5,35,105,50,"natural-cure, serene-grace, healer",generation-i,False,False,pink,upright,30
114,tangela,10,350,87.0,grass,,65,55,115,100,40,60,"chlorophyll, leaf-guard, regenerator",generation-i,False,False,blue,legs,45
115,kangaskhan,22,800,172.0,normal,,105,95,80,40,80,90,"early-bird, scrappy, inner-focus",generation-i,False,False,brown,upright,45
116,horsea,4,80,59.0,water,,30,40,70,70,25,60,"swift-swim, sniper, damp",generation-i,False,False,blue,blob,225
117,seadra,12,250,154.0,water,,55,65,95,95,45,85,"poison-point, sniper, damp",generation-i,False,False,blue,blob,75
118,goldeen,6,150,64.0,water,,45,67,60,35,50,63,"swift-swim, water-veil, lightning-rod",generation-i,False,False,red,fish,225
119,seaking,13,390,158.0,water,,80,92,65,65,80,68,"swift-swim, water-veil, lightning-rod",generation-i,False,False,red,fish,60
120,staryu,8,345,68.0,water,,30,45,55,70,55,85,"illuminate, natural-cure, analytic",generation-i,False,False,brown,blob,225
121,starmie,11,800,182.0,water,psychic,60,75,85,100,85,115,"illuminate, natural-cure, analytic",generation-i,False,False,purple,blob,60
122,mr-mime,13,545,161.0,psychic,fairy,40,45,65,100,120,90,"soundproof, filter, technician",generation-i,False,False,pink,humanoid,45
123,scyther,15,560,100.0,bug,flying,70,110,80,55,80,105,"swarm, technician, steadfast",generation-i,False,False,green,bug-wings,45
124,jynx,14,406,159.0,ice,psychic,65,50,35,115,95,95,"oblivious, forewarn, dry-skin",generation-i,False,False,red,humanoid,45
125,electabuzz,11,300,172.0,electric,,65,83,57,95,85,105,"static, vital-spirit",generation-i,False,False,yellow,upright,45
126,magmar,13,445,173.0,fire,,65,95,57,100,85,93,"flame-body, vital-spirit",generation-i,False,False,red,upright,45
127,pinsir,15,550,175.0,bug,,65,125,100,55,70,85,"hyper-cutter, mold-breaker, moxie",generation-i,False,False,brown,humanoid,45
128,tauros,14,884,172.0,normal,,75,100,95,40,70,110,"intimidate, anger-point, sheer-force",generation-i,False,False,brown,quadruped,45
129,magikarp,9,100,40.0,water,,20,10,55,15,20,80,"swift-swim, rattled",generation-i,False,False,red,fish,255
130,gyarados,65,2350,189.0,water,flying,95,125,79,60,100,81,"intimidate, moxie",generation-i,False,False,blue,squiggle,45
131,lapras,25,2200,187.0,water,ice,130,85,80,85,95,60,"water-absorb, shell-armor, hydration",generation-i,False,False,blue,fish,45
132,ditto,3,40,101.0,normal,,48,48,48,48,48,48,"limber, imposter",generation-i,False,False,purple,ball,35
133,eevee,3,65,65.0,normal,,55,55,50,45,65,55,"run-away, adaptability, anticipation",generation-i,False,False,brown,quadruped,45
134,vaporeon,10,290,184.0,water,,130,65,60,110,95,65,"water-absorb, hydration",generation-i,False,False,blue,quadruped,45
135,jolteon,8,245,184.0,electric,,65,65,60,110,95,130,"volt-absorb, quick-feet",generation-i,False,False,yellow,quadruped,45
136,flareon,9,250,184.0,fire,,65,130,60,95,110,65,"flash-fire, guts",generation-i,False,False,red,quadruped,45
137,porygon,8,365,79.0,normal,,65,60,70,85,75,40,"trace, download, analytic",generation-i,False,False,pink,legs,45
138,omanyte,4,75,71.0,rock,water,35,40,100,90,55,35,"swift-swim, shell-armor, weak-armor",generation-i,False,False,blue,tentacles,45
139,omastar,10,350,173.0,rock,water,70,60,125,115,70,55,"swift-swim, shell-armor, weak-armor",generation-i,False,False,blue,tentacles,45
140,kabuto,5,115,71.0,rock,water,30,80,90,55,45,55,"swift-swim, battle-armor, weak-armor",generation-i,False,False,brown,armor,45
141,kabutops,13,405,173.0,rock,water,60,115,105,65,70,80,"swift-swim, battle-armor, weak-armor",generation-i,False,False,brown,upright,45
142,aerodactyl,18,590,180.0,rock,flying,80,105,65,60,75,130,"rock-head, pressure, unnerve",generation-i,False,False,purple,wings,45
143,snorlax,21,4600,189.0,normal,,160,110,65,65,110,30,"immunity, thick-fat, gluttony",generation-i,False,False,black,humanoid,25
144,articuno,17,554,261.0,ice,flying,90,85,100,95,125,85,"pressure, snow-cloak",generation-i,True,False,blue,wings,3
145,zapdos,16,526,261.0,electric,flying,90,90,85,125,90,100,"pressure, static",generation-i,True,False,yellow,wings,3
146,moltres,20,600,261.0,fire,flying,90,100,90,125,85,90,"pressure, flame-body",generation-i,True,False,yellow,wings,3
147,dratini,18,33,60.0,dragon,,41,64,45,50,50,50,"shed-skin, marvel-scale",generation-i,False,False,blue,squiggle,45
148,dragonair,40,165,147.0,dragon,,61,84,65,70,70,70,"shed-skin, marvel-scale",generation-i,False,False,blue,squiggle,45
149,dragonite,22,2100,270.0,dragon,flying,91,134,95,100,100,80,"inner-focus, multiscale",generation-i,False,False,brown,upright,45
150,mewtwo,20,1220,306.0,psychic,,106,110,90,154,90,130,"pressure, unnerve",generation-i,True,False,purple,upright,3
151,mew,4,40,270.0,psychic,,100,100,100,100,100,100,synchronize,generation-i,False,True,pink,upright,45
152,chikorita,9,64,64.0,grass,,45,49,65,49,65,45,"overgrow, leaf-guard",generation-ii,False,False,green,quadruped,45
153,bayleef,12,158,142.0,grass,,60,62,80,63,80,60,"overgrow, leaf-guard",generation-ii,False,False,green,quadruped,45
154,meganium,18,1005,236.0,grass,,80,82,100,83,100,80,"overgrow, leaf-guard",generation-ii,False,False,green,quadruped,45
155,cyndaquil,5,79,62.0,fire,,39,52,43,60,50,65,"blaze, flash-fire",generation-ii,False,False,yellow,humanoid,45
156,quilava,9,190,142.0,fire,,58,64,58,80,65,80,"blaze, flash-fire",generation-ii,False,False,yellow,quadruped,45
157,typhlosion,17,795,240.0,fire,,78,84,78,109,85,100,"blaze, flash-fire",generation-ii,False,False,yellow,quadruped,45
158,totodile,6,95,63.0,water,,50,65,64,44,48,43,"torrent, sheer-force",generation-ii,False,False,blue,upright,45
159,croconaw,11,250,142.0,water,,65,80,80,59,63,58,"torrent, sheer-force",generation-ii,False,False,blue,upright,45
160,feraligatr,23,888,239.0,water,,85,105,100,79,83,78,"torrent, sheer-force",generation-ii,False,False,blue,upright,45
161,sentret,8,60,43.0,normal,,35,46,34,35,45,20,"run-away, keen-eye, frisk",generation-ii,False,False,brown,quadruped,255
162,furret,18,325,145.0,normal,,85,76,64,45,55,90,"run-away, keen-eye, frisk",generation-ii,False,False,brown,quadruped,90
163,hoothoot,7,212,52.0,normal,flying,60,30,30,36,56,50,"insomnia, keen-eye, tinted-lens",generation-ii,False,False,brown,wings,255
164,noctowl,16,408,158.0,normal,flying,100,50,50,86,96,70,"insomnia, keen-eye, tinted-lens",generation-ii,False,False,brown,wings,90
165,ledyba,10,108,53.0,bug,flying,40,20,30,40,80,55,"swarm, early-bird, rattled",generation-ii,False,False,red,wings,255
166,ledian,14,356,137.0,bug,flying,55,35,50,55,110,85,"swarm, early-bird, iron-fist",generation-ii,False,False,red,wings,90
167,spinarak,5,85,50.0,bug,poison,40,60,40,40,40,30,"swarm, insomnia, sniper",generation-ii,False,False,green,armor,255
168,ariados,11,335,140.0,bug,poison,70,90,70,60,70,40,"swarm, insomnia, sniper",generation-ii,False,False,red,armor,90
169,crobat,18,750,241.0,poison,flying,85,90,80,70,80,130,"inner-focus, infiltrator",generation-ii,False,False,purple,bug-wings,90
170,chinchou,5,120,66.0,water,electric,75,38,38,56,56,67,"volt-absorb, illuminate, water-absorb",generation-ii,False,False,blue,fish,190
171,lanturn,12,225,161.0,water,electric,125,58,58,76,76,67,"volt-absorb, illuminate, water-absorb",generation-ii,False,False,blue,fish,75
172,pichu,3,20,41.0,electric,,20,40,15,35,35,60,"static, lightning-rod",generation-ii,False,False,yellow,quadruped,190
173,cleffa,3,30,44.0,fairy,,50,25,28,45,55,15,"cute-charm, magic-guard, friend-guard",generation-ii,False,False,pink,upright,150
174,igglybuff,3,10,42.0,normal,fairy,90,30,15,40,20,15,"cute-charm, competitive, friend-guard",generation-ii,False,False,pink,humanoid,170
175,togepi,3,15,49.0,fairy,,35,20,65,40,65,20,"hustle, serene-grace, super-luck",generation-ii,False,False,white,humanoid,190
176,togetic,6,32,142.0,fairy,flying,55,40,85,80,105,40,"hustle, serene-grace, super-luck",generation-ii,False,False,white,humanoid,75
177,natu,2,20,64.0,psychic,flying,40,50,45,70,45,70,"synchronize, early-bird, magic-bounce",generation-ii,False,False,green,wings,190
178,xatu,15,150,165.0,psychic,flying,65,75,70,95,70,95,"synchronize, early-bird, magic-bounce",generation-ii,False,False,green,wings,75
179,mareep,6,78,56.0,electric,,55,40,40,65,45,35,"static, plus",generation-ii,False,False,white,quadruped,235
180,flaaffy,8,133,128.0,electric,,70,55,55,80,60,45,"static, plus",generation-ii,False,False,pink,upright,120
181,ampharos,14,615,230.0,electric,,90,75,85,115,90,55,"static, plus",generation-ii,False,False,yellow,upright,45
182,bellossom,4,58,221.0,grass,,75,80,95,90,100,50,"chlorophyll, healer",generation-ii,False,False,green,humanoid,45
183,marill,4,85,88.0,water,fairy,70,20,50,20,50,40,"thick-fat, huge-power, sap-sipper",generation-ii,False,False,blue,upright,190
184,azumarill,8,285,189.0,water,fairy,100,50,80,60,80,50,"thick-fat, huge-power, sap-sipper",generation-ii,False,False,blue,upright,75
185,sudowoodo,12,380,144.0,rock,,70,100,115,30,65,30,"sturdy, rock-head, rattled",generation-ii,False,False,brown,humanoid,65
186,politoed,11,339,225.0,water,,90,75,75,90,100,70,"water-absorb, damp, drizzle",generation-ii,False,False,green,humanoid,45
187,hoppip,4,5,50.0,grass,flying,35,35,40,35,55,50,"chlorophyll, leaf-guard, infiltrator",generation-ii,False,False,pink,upright,255
188,skiploom,6,10,119.0,grass,flying,55,45,50,45,65,80,"chlorophyll, leaf-guard, infiltrator",generation-ii,False,False,green,upright,120
189,jumpluff,8,30,207.0,grass,flying,75,55,70,55,95,110,"chlorophyll, leaf-guard, infiltrator",generation-ii,False,False,blue,upright,45
190,aipom,8,115,72.0,normal,,55,70,55,40,55,85,"run-away, pickup, skill-link",generation-ii,False,False,purple,upright,45
191,sunkern,3,18,36.0,grass,,30,30,30,30,30,30,"chlorophyll, solar-power, early-bird",generation-ii,False,False,yellow,ball,235
192,sunflora,8,85,149.0,grass,,75,75,55,105,85,30,"chlorophyll, solar-power, early-bird",generation-ii,False,False,yellow,humanoid,120
193,yanma,12,380,78.0,bug,flying,65,65,45,75,45,95,"speed-boost, compound-eyes, frisk",generation-ii,False,False,red,bug-wings,75
194,wooper,4,85,42.0,water,ground,55,45,45,25,25,15,"damp, water-absorb, unaware",generation-ii,False,False,blue,legs,255
195,quagsire,14,750,151.0,water,ground,95,85,85,65,65,35,"damp, water-absorb, unaware",generation-ii,False,False,blue,upright,90
196,espeon,9,265,184.0,psychic,,65,65,60,130,95,110,"synchronize, magic-bounce",generation-ii,False,False,purple,quadruped,45
197,umbreon,10,270,184.0,dark,,95,65,110,60,130,65,"synchronize, inner-focus",generation-ii,False,False,black,quadruped,45
198,murkrow,5,21,81.0,dark,flying,60,85,42,85,42,91,"insomnia, super-luck, prankster",generation-ii,False,False,black,wings,30
199,slowking,20,795,172.0,water,psychic,95,75,80,100,110,30,"oblivious, own-tempo, regenerator",generation-ii,False,False,pink,upright,70
200,misdreavus,7,10,87.0,ghost,,60,60,60,85,85,85,levitate,generation-ii,False,False,gray,ball,45
201,unown,5,50,118.0,psychic,,48,72,48,72,48,48,levitate,generation-ii,False,False,black,ball,225
202,wobbuffet,13,285,142.0,psychic,,190,33,58,33,58,33,"shadow-tag, telepathy",generation-ii,False,False,blue,blob,45
203,girafarig,15,415,159.0,normal,psychic,70,80,65,90,65,85,"inner-focus, early-bird, sap-sipper",generation-ii,False,False,yellow,quadruped,60
204,pineco,6,72,58.0,bug,,50,65,90,35,35,15,"sturdy, overcoat",generation-ii,False,False,gray,ball,190
205,forretress,12,1258,163.0,bug,steel,75,90,140,60,60,40,"sturdy, overcoat",generation-ii,False,False,purple,ball,75
206,dunsparce,15,140,145.0,normal,,100,70,70,65,65,45,"serene-grace, run-away, rattled",generation-ii,False,False,yellow,squiggle,190
207,gligar,11,648,86.0,ground,flying,65,75,105,35,65,85,"hyper-cutter, sand-veil, immunity",generation-ii,False,False,purple,wings,60
208,steelix,92,4000,179.0,steel,ground,75,85,200,55,65,30,"rock-head, sturdy, sheer-force",generation-ii,False,False,gray,squiggle,25
209,snubbull,6,78,60.0,fairy,,60,80,50,40,40,30,"intimidate, run-away, rattled",generation-ii,False,False,pink,humanoid,190
210,granbull,14,487,158.0,fairy,,90,120,75,60,60,45,"intimidate, quick-feet, rattled",generation-ii,False,False,purple,upright,75
211,qwilfish,5,39,88.0,water,poison,65,95,85,55,55,85,"poison-point, swift-swim, intimidate",generation-ii,False,False,gray,fish,45
212,scizor,18,1180,175.0,bug,steel,70,130,100,55,80,65,"swarm, technician, light-metal",generation-ii,False,False,red,bug-wings,25
213,shuckle,6,205,177.0,bug,rock,20,10,230,10,230,5,"sturdy, gluttony, contrary",generation-ii,False,False,yellow,armor,190
214,heracross,15,540,175.0,bug,fighting,80,125,75,40,95,85,"swarm, guts, moxie",generation-ii,False,False,blue,humanoid,45
